Wildforge planetary water audit
surface hours: 0
groundwater days: 0
atmosphere: 356224169157 HU, 0 salt mass
soil: 65567751968 HU, 0 salt mass
snow/ice reserve: 2413703488 HU, 0 salt mass
groundwater: 694969114024 HU, 124120214934464 salt mass
runoff: 0 HU, 0 salt mass
coarse surface: 2423767171456 HU, 533141456741664 salt mass
voxel surface: 0 HU, 0 salt mass
pending exchanges: 0 HU, 0 salt mass
portable: 0 HU, 0 salt mass
industrial: 0 HU, 0 salt mass
precipitated salt: 0
expected water: 3542941910093 HU
current water: 3542941910093 HU
unexplained water delta: 0 HU
expected salt: 657261671676128
current salt: 657261671676128
unexplained salt delta: 0
basins:
  The World Ocean: level 64.000, coarse 2422510405664 HU, committed 0 HU, salinity 220
  Selen River: level 0.000, coarse 113888 HU, committed 0 HU, salinity 74
  Galia River: level 0.000, coarse 121824 HU, committed 0 HU, salinity 64
  Baren River: level 0.000, coarse 231136 HU, committed 0 HU, salinity 59
  Kelun River: level 0.000, coarse 152576 HU, committed 0 HU, salinity 14
  Galen River: level 0.000, coarse 118624 HU, committed 0 HU, salinity 68
  Coria River: level 0.000, coarse 125216 HU, committed 0 HU, salinity 61
  Selos River: level 0.000, coarse 403104 HU, committed 0 HU, salinity 16
  Eshvale River: level 0.000, coarse 366912 HU, committed 0 HU, salinity 17
  Eshara River: level 0.000, coarse 424160 HU, committed 0 HU, salinity 16
  Alor River: level 0.000, coarse 623616 HU, committed 0 HU, salinity 16
  Lorith River: level 0.000, coarse 362976 HU, committed 0 HU, salinity 17
  Morora River: level 0.000, coarse 264768 HU, committed 0 HU, salinity 15
  Morara River: level 0.000, coarse 357216 HU, committed 0 HU, salinity 17
  Morun River: level 0.000, coarse 260640 HU, committed 0 HU, salinity 15
  Loresh River: level 0.000, coarse 304320 HU, committed 0 HU, salinity 17
  Kelith River: level 0.000, coarse 257056 HU, committed 0 HU, salinity 15
  Bareth River: level 0.000, coarse 300416 HU, committed 0 HU, salinity 17
  Haryr River: level 0.000, coarse 255424 HU, committed 0 HU, salinity 15
  Varain River: level 0.000, coarse 297696 HU, committed 0 HU, salinity 17
  Selen River: level 0.000, coarse 269856 HU, committed 0 HU, salinity 15
  Alvale River: level 0.000, coarse 348128 HU, committed 0 HU, salinity 17
  Corith River: level 0.000, coarse 273760 HU, committed 0 HU, salinity 15
  Eshvale River: level 0.000, coarse 351648 HU, committed 0 HU, salinity 17
  Galesh River: level 0.000, coarse 122304 HU, committed 0 HU, salinity 74
  Fenin River: level 0.000, coarse 274400 HU, committed 0 HU, salinity 17
  Coryr River: level 0.000, coarse 355840 HU, committed 0 HU, salinity 17
  Coria River: level 0.000, coarse 275520 HU, committed 0 HU, salinity 17
  Harvale River: level 0.000, coarse 165888 HU, committed 0 HU, salinity 57
  Kelia River: level 0.000, coarse 237440 HU, committed 0 HU, salinity 15
  Oreth River: level 0.000, coarse 276288 HU, committed 0 HU, salinity 18
  Oror River: level 0.000, coarse 212256 HU, committed 0 HU, salinity 22
  Lora River: level 0.000, coarse 249504 HU, committed 0 HU, salinity 15
  Noros River: level 0.000, coarse 279392 HU, committed 0 HU, salinity 18
  Fenyr River: level 0.000, coarse 175040 HU, committed 0 HU, salinity 57
  Haror River: level 0.000, coarse 249888 HU, committed 0 HU, salinity 18
  Orara River: level 0.000, coarse 282624 HU, committed 0 HU, salinity 17
  Dunvale River: level 0.000, coarse 248640 HU, committed 0 HU, salinity 22
  Alun River: level 0.000, coarse 250112 HU, committed 0 HU, salinity 18
  Dunora River: level 0.000, coarse 108832 HU, committed 0 HU, salinity 67
  Oria River: level 0.000, coarse 205504 HU, committed 0 HU, salinity 22
  Oreth River: level 0.000, coarse 166560 HU, committed 0 HU, salinity 96
  Norora River: level 0.000, coarse 175840 HU, committed 0 HU, salinity 16
  Galith River: level 0.000, coarse 248288 HU, committed 0 HU, salinity 18
  Varesh River: level 0.000, coarse 221056 HU, committed 0 HU, salinity 16
  Kelora River: level 0.000, coarse 248384 HU, committed 0 HU, salinity 18
  Iseth River: level 0.000, coarse 223552 HU, committed 0 HU, salinity 19
  Moresh River: level 0.000, coarse 249536 HU, committed 0 HU, salinity 18
  Morora River: level 0.000, coarse 171872 HU, committed 0 HU, salinity 57
  Fenora River: level 0.000, coarse 307392 HU, committed 0 HU, salinity 22
  Lorun River: level 0.000, coarse 174624 HU, committed 0 HU, salinity 21
  Dunora River: level 0.000, coarse 117024 HU, committed 0 HU, salinity 67
  Loria River: level 0.000, coarse 222176 HU, committed 0 HU, salinity 19
  Baresh River: level 0.000, coarse 255584 HU, committed 0 HU, salinity 18
  Haresh River: level 0.000, coarse 140352 HU, committed 0 HU, salinity 22
  Coryr River: level 0.000, coarse 118848 HU, committed 0 HU, salinity 67
  Kelvale River: level 0.000, coarse 234592 HU, committed 0 HU, salinity 12
  Alith River: level 0.000, coarse 810304 HU, committed 0 HU, salinity 24
  Haren River: level 0.000, coarse 267168 HU, committed 0 HU, salinity 64
  Vareth River: level 0.000, coarse 118432 HU, committed 0 HU, salinity 21
  Varara River: level 0.000, coarse 167296 HU, committed 0 HU, salinity 64
  Aleth River: level 0.000, coarse 250528 HU, committed 0 HU, salinity 15
  Eshith River: level 0.000, coarse 120032 HU, committed 0 HU, salinity 67
  Dunyr River: level 0.000, coarse 239840 HU, committed 0 HU, salinity 11
  Moren River: level 0.000, coarse 181408 HU, committed 0 HU, salinity 21
  Cora River: level 0.000, coarse 174880 HU, committed 0 HU, salinity 64
  Galyr River: level 0.000, coarse 276608 HU, committed 0 HU, salinity 63
  Eshvale River: level 0.000, coarse 133568 HU, committed 0 HU, salinity 21
  Selen River: level 0.000, coarse 221664 HU, committed 0 HU, salinity 22
  Varin River: level 0.000, coarse 206112 HU, committed 0 HU, salinity 21
  Kelmere River: level 0.000, coarse 281088 HU, committed 0 HU, salinity 36
  Noria River: level 0.000, coarse 159808 HU, committed 0 HU, salinity 16
  Baria River: level 0.000, coarse 151200 HU, committed 0 HU, salinity 16
  Morith River: level 0.000, coarse 232448 HU, committed 0 HU, salinity 22
  Coria River: level 0.000, coarse 196800 HU, committed 0 HU, salinity 55
  Selith River: level 0.000, coarse 361216 HU, committed 0 HU, salinity 21
  Isvale River: level 0.000, coarse 277408 HU, committed 0 HU, salinity 21
  Lorin River: level 0.000, coarse 1071488 HU, committed 0 HU, salinity 22
  Harara River: level 0.000, coarse 197696 HU, committed 0 HU, salinity 21
  Morora River: level 0.000, coarse 168096 HU, committed 0 HU, salinity 21
  Dunin River: level 0.000, coarse 167040 HU, committed 0 HU, salinity 49
  Coren River: level 0.000, coarse 535936 HU, committed 0 HU, salinity 22
  Eshin River: level 0.000, coarse 245696 HU, committed 0 HU, salinity 21
  Fenvale River: level 0.000, coarse 254784 HU, committed 0 HU, salinity 21
  Hara River: level 0.000, coarse 168512 HU, committed 0 HU, salinity 67
  Fenesh River: level 0.000, coarse 134848 HU, committed 0 HU, salinity 67
  Haros River: level 0.000, coarse 182112 HU, committed 0 HU, salinity 21
  Isyr River: level 0.000, coarse 180224 HU, committed 0 HU, salinity 21
  Kelesh River: level 0.000, coarse 180320 HU, committed 0 HU, salinity 21
  Cora River: level 0.000, coarse 185024 HU, committed 0 HU, salinity 21
  Fenara River: level 0.000, coarse 244000 HU, committed 0 HU, salinity 21
  Lorun River: level 0.000, coarse 140032 HU, committed 0 HU, salinity 21
  Selesh River: level 0.000, coarse 261088 HU, committed 0 HU, salinity 21
  Corora River: level 0.000, coarse 204672 HU, committed 0 HU, salinity 22
  Norun River: level 0.000, coarse 121600 HU, committed 0 HU, salinity 96
  Dunia River: level 0.000, coarse 351584 HU, committed 0 HU, salinity 22
  Dunith River: level 0.000, coarse 140064 HU, committed 0 HU, salinity 21
  Harara River: level 0.000, coarse 126048 HU, committed 0 HU, salinity 68
  Seleth River: level 0.000, coarse 331808 HU, committed 0 HU, salinity 22
  Noresh River: level 0.000, coarse 191840 HU, committed 0 HU, salinity 22
  Galara River: level 0.000, coarse 188160 HU, committed 0 HU, salinity 22
  Kelin River: level 0.000, coarse 138432 HU, committed 0 HU, salinity 21
  Selor River: level 0.000, coarse 125408 HU, committed 0 HU, salinity 68
  Mormere River: level 0.000, coarse 637408 HU, committed 0 HU, salinity 33
  Dunin River: level 0.000, coarse 344288 HU, committed 0 HU, salinity 22
  Haror River: level 0.000, coarse 139872 HU, committed 0 HU, salinity 21
  Kelith River: level 0.000, coarse 122912 HU, committed 0 HU, salinity 68
  Orith River: level 0.000, coarse 102304 HU, committed 0 HU, salinity 65
  Loros River: level 0.000, coarse 119552 HU, committed 0 HU, salinity 68
  Fenen River: level 0.000, coarse 112704 HU, committed 0 HU, salinity 75
  Morvale River: level 0.000, coarse 131904 HU, committed 0 HU, salinity 70
  Alos River: level 0.000, coarse 192608 HU, committed 0 HU, salinity 41
  Selora River: level 0.000, coarse 122336 HU, committed 0 HU, salinity 68
  Harara River: level 0.000, coarse 122240 HU, committed 0 HU, salinity 68
  Galmere River: level 0.000, coarse 1495968 HU, committed 0 HU, salinity 56
  Oryr River: level 0.000, coarse 2293664 HU, committed 0 HU, salinity 58
  Harvale River: level 0.000, coarse 201248 HU, committed 0 HU, salinity 22
  Baren River: level 0.000, coarse 203712 HU, committed 0 HU, salinity 23
  Lorin River: level 0.000, coarse 159520 HU, committed 0 HU, salinity 22
  Selun River: level 0.000, coarse 196992 HU, committed 0 HU, salinity 22
  Alvale River: level 0.000, coarse 197728 HU, committed 0 HU, salinity 22
  Dunyr River: level 0.000, coarse 291744 HU, committed 0 HU, salinity 22
  Alora River: level 0.000, coarse 202208 HU, committed 0 HU, salinity 22
  Isos River: level 0.000, coarse 261824 HU, committed 0 HU, salinity 22
  Fenith River: level 0.000, coarse 109888 HU, committed 0 HU, salinity 74
  Selun River: level 0.000, coarse 171936 HU, committed 0 HU, salinity 22
  Haror River: level 0.000, coarse 184032 HU, committed 0 HU, salinity 22
  Fenesh River: level 0.000, coarse 160384 HU, committed 0 HU, salinity 22
  Varos River: level 0.000, coarse 120576 HU, committed 0 HU, salinity 68
  Baror River: level 0.000, coarse 183616 HU, committed 0 HU, salinity 22
  Loria River: level 0.000, coarse 118560 HU, committed 0 HU, salinity 67
  Bara River: level 0.000, coarse 1990336 HU, committed 0 HU, salinity 34
  Isara River: level 0.000, coarse 162336 HU, committed 0 HU, salinity 22
  Selor River: level 0.000, coarse 158528 HU, committed 0 HU, salinity 96
  Kelyr River: level 0.000, coarse 232736 HU, committed 0 HU, salinity 22
  Dunith River: level 0.000, coarse 217632 HU, committed 0 HU, salinity 22
  Isara River: level 0.000, coarse 257728 HU, committed 0 HU, salinity 21
  Mora River: level 0.000, coarse 124544 HU, committed 0 HU, salinity 68
  Kelun River: level 0.000, coarse 164384 HU, committed 0 HU, salinity 21
  Alith River: level 0.000, coarse 490336 HU, committed 0 HU, salinity 22
  Eshara River: level 0.000, coarse 467744 HU, committed 0 HU, salinity 21
  Alara River: level 0.000, coarse 9326016 HU, committed 0 HU, salinity 56
  Fenmere River: level 0.000, coarse 504576 HU, committed 0 HU, salinity 40
  Kelin River: level 0.000, coarse 290944 HU, committed 0 HU, salinity 21
  Isith River: level 0.000, coarse 251168 HU, committed 0 HU, salinity 80
  Kelos River: level 0.000, coarse 139680 HU, committed 0 HU, salinity 66
  Coryr River: level 0.000, coarse 1457568 HU, committed 0 HU, salinity 30
  Dunen River: level 0.000, coarse 115104 HU, committed 0 HU, salinity 96
  Varain River: level 0.000, coarse 126848 HU, committed 0 HU, salinity 63
  Harara River: level 0.000, coarse 1064896 HU, committed 0 HU, salinity 22
  Loreth River: level 0.000, coarse 126720 HU, committed 0 HU, salinity 67
  Lorith River: level 0.000, coarse 121856 HU, committed 0 HU, salinity 63
  Varain River: level 0.000, coarse 95424 HU, committed 0 HU, salinity 96
  Kelain River: level 0.000, coarse 124992 HU, committed 0 HU, salinity 96
  Selesh River: level 0.000, coarse 295200 HU, committed 0 HU, salinity 21
  Eshora River: level 0.000, coarse 918240 HU, committed 0 HU, salinity 21
  Selen River: level 0.000, coarse 135040 HU, committed 0 HU, salinity 67
  Keleth River: level 0.000, coarse 103680 HU, committed 0 HU, salinity 96
  Isyr River: level 0.000, coarse 538720 HU, committed 0 HU, salinity 40
  Cormere River: level 0.000, coarse 457344 HU, committed 0 HU, salinity 23
  Fenvale River: level 0.000, coarse 494368 HU, committed 0 HU, salinity 32
  Noresh River: level 0.000, coarse 282688 HU, committed 0 HU, salinity 23
  Fenora River: level 0.000, coarse 317248 HU, committed 0 HU, salinity 32
  Dunara River: level 0.000, coarse 413472 HU, committed 0 HU, salinity 23
  Coreth River: level 0.000, coarse 399488 HU, committed 0 HU, salinity 23
  Coryr River: level 0.000, coarse 596512 HU, committed 0 HU, salinity 22
  Galyr River: level 0.000, coarse 130720 HU, committed 0 HU, salinity 22
  Moresh River: level 0.000, coarse 530016 HU, committed 0 HU, salinity 22
  Morun River: level 0.000, coarse 311264 HU, committed 0 HU, salinity 23
  Moria River: level 0.000, coarse 765056 HU, committed 0 HU, salinity 22
  Cora River: level 0.000, coarse 253792 HU, committed 0 HU, salinity 22
  Eshora River: level 0.000, coarse 403008 HU, committed 0 HU, salinity 22
  Galara River: level 0.000, coarse 176480 HU, committed 0 HU, salinity 54
  Isora River: level 0.000, coarse 152448 HU, committed 0 HU, salinity 96
  Morith River: level 0.000, coarse 182048 HU, committed 0 HU, salinity 19
  Selyr River: level 0.000, coarse 117632 HU, committed 0 HU, salinity 68
  Haror River: level 0.000, coarse 122048 HU, committed 0 HU, salinity 66
  Alun River: level 0.000, coarse 1333600 HU, committed 0 HU, salinity 57
  Varvale River: level 0.000, coarse 159232 HU, committed 0 HU, salinity 55
  Galun River: level 0.000, coarse 134304 HU, committed 0 HU, salinity 66
largest aquifer drawdowns (milliblocks):
  AtlasPos { face: NegZ, u: 255, v: 254 }: 0
  AtlasPos { face: NegZ, u: 255, v: 253 }: 0
  AtlasPos { face: NegZ, u: 255, v: 252 }: 0
  AtlasPos { face: NegZ, u: 255, v: 251 }: 0
  AtlasPos { face: NegZ, u: 255, v: 250 }: 0
  AtlasPos { face: NegZ, u: 255, v: 249 }: 0
  AtlasPos { face: NegZ, u: 255, v: 248 }: 0
  AtlasPos { face: NegZ, u: 255, v: 247 }: 0
largest pending exchanges:
